movie title, Daudience , A1audience , A2audience , Dscreen , A1screen , A2screen , Nationality , Grade , Season , Month , Actscore , social distancing , labels 
 조커 ,326211,2589588,4017872,1192,1326,1218,1,15,3,10,2,0,4
 봉오동 전투 ,352270,2454766,4119824,1392,1430,1128,0,15,2,8,17,0,3
 라이온 킹 ,307407,2604866,4015345,1856,1695,1311,1,0,2,7,1,0,3
 나쁜 녀석들: 더 무비 ,269559,3015445,4048243,1139,1285,1114,0,15,3,9,14,0,3
 82년생 김지영 ,148576,1410897,2675093,1354,1438,1197,0,12,3,10,4,0,3
 분노의 질주: 홉스&쇼 ,352839,2290480,3074128,1270,1240,907,1,12,2,8,9,0,3
 토이 스토리 4 ,142561,1471509,2394218,1063,894,707,1,0,2,6,3,0,3
 돈 ,254180,1773458,2810140,1146,1344,1082,0,15,1,3,6,0,3
 악인전 ,196391,1784708,2950737,1048,1217,1073,0,19,1,5,17,0,3
 가장 보통의 연애 ,154446,1288953,2171641,1006,1043,990,0,15,3,10,8,0,2
 말모이 ,284978,1408833,2382155,1077,1116,1081,0,12,4,1,17,0,2
 증인 ,117449,947821,1695553,884,1047,953,0,12,4,2,9,0,2
 시동 ,286830,1421303,2525986,1515,890,843,0,15,4,12,19,0,2
 블랙머니 ,146613,1275164,1933890,1006,1103,856,0,12,3,11,16,0,2
 터미네이터: 다크 페이트 ,275669,1549405,2130145,1305,1265,913,1,15,3,10,2,0,2
 사바하 ,191690,1402753,2219330,1162,1103,833,0,15,4,2,13,0,2
 타짜: 원 아이드 잭 ,348902,1827044,2160178,1345,1221,777,0,19,3,9,13,0,2
 신의 한 수: 귀수편 ,194476,1397914,1969451,1164,940,960,0,15,3,11,10,0,2
 알리타: 배틀 엔젤 ,276963,1322882,1747636,919,946,631,1,12,4,2,2,0,1
 내안의 그놈 ,111957,953925,1730930,671,1004,913,0,15,4,1,10,0,1
 뺑반 ,267984,1306426,1790806,1285,802,714,0,15,4,1,7,0,1
 변신 ,111720,939871,1569674,742,917,804,0,15,2,8,17,0,1
 주먹왕 랄프 2: 인터넷 속으로 ,130447,967984,1442448,962,908,636,1,0,4,1,1,0,1
 걸캅스 ,80505,806485,1346991,760,756,714,0,15,1,5,14,0,1
 사자 ,406113,1346671,1561142,1405,1044,561,0,15,2,7,9,0,1
 드래곤 길들이기 3 ,134135,823709,1229465,930,800,684,1,0,4,1,3,0,1
 나의 특별한 형제 ,169371,918019,1331746,734,936,741,0,12,1,5,10,0,1
 어스 ,214010,1064068,1379883,1084,1015,614,1,15,1,3,3,0,1
 말레피센트 2 ,71137,759759,1222417,987,762,610,1,12,3,10,6,0,1
 유열의 음악앨범 ,193298,797250,1171470,1052,989,860,0,12,2,8,5,0,1
 퍼펙트맨 ,176207,766240,1083592,894,811,677,0,15,3,10,21,0,1
 포드 V 페라리 ,65500,557759,952746,986,954,782,1,12,4,12,6,0,1
 생일 ,55927,454816,834272,852,856,827,0,0,1,4,9,0,1
" 힘을 내요, 미스터 리 ",84422,967303,1145814,911,943,584,0,12,3,9,7,0,1
 항거:유관순 이야기 ,102744,870319,1068458,737,900,616,0,12,4,2,5,0,1
