movie title, Daudience , A1audience , A2audience , Dscreen , A1screen , A2screen , Nationality , Grade , Season , Month , Actscore , social distancing , labels 
 창궐 ,156629,1314228,1561005,1283,802,413,0,2,3,10,2,0,1813594
 성난황소 ,135764,1183538,1522436,978,695,405,0,2,3,11,11,0,1708672
 도어락 ,122978,969018,1513030,854,913,163,0,2,4,12,3,0,1599290
 리틀 포레스트 ,131350,785284,1168189,831,766,510,0,0,4,2,3,0,1593386
 골든슬럼버 ,161564,1093094,1360917,762,720,167,0,2,4,2,14,0,1559616
 램페이지 ,74779,851335,1345767,784,857,344,1,1,1,4,5,0,1506269
 궁합 ,175057,1037183,1295286,855,856,860,0,1,4,2,4,0,1387508
 오션스8 ,195523,706118,1118478,837,775,451,1,1,1,6,5,0,1385511
 사라진 밤 ,57161,768435,1160416,697,800,590,0,2,1,3,7,0,1340117
 스윙키즈 ,102502,920050,1324986,984,656,536,0,1,4,12,2,0,1335829
 바람 바람 바람 ,95534,787709,1057036,792,876,456,0,3,1,4,10,0,1315726
 PMC: 더 벙커 ,219234,1374890,1643707,1047,893,278,0,2,4,12,12,0,1258811
 범블비 ,441893,1167150,1506334,1016,799,632,1,1,4,12,1,0,1194229
 챔피언 ,139965,848667,996252,795,874,601,0,1,1,5,8,0,1179031
 퍼시픽 림: 업라이징 ,114862,946696,1063349,1105,1038,353,1,2,1,3,1,0,1167150
 몬스터 호텔 3 ,86565,616656,935365,632,665,335,1,0,2,8,3,0,1128774
 더 넌 ,98719,731193,992952,682,679,510,1,2,3,9,0,0,1077235
 스카이스크래퍼 ,78615,722541,996060,808,777,65,1,1,2,7,5,0,1072220
 극한직업 ,392773,3894937,9400660,1553,1827,1844,0,2,4,1,10,0,1011580
 어벤져스: 엔드게임 ,1339353,7331158,11756018,2760,2802,2320,1,1,1,4,10,0,1002858
 겨울왕국 2 ,607783,5710502,9160659,2343,2094,1557,1,0,3,11,3,0,13369064
 알라딘 ,75054,1338006,2429575,1008,1146,937,1,0,1,5,4,0,12552283
 기생충 ,577954,4524029,7520770,1783,1700,1217,0,2,1,5,11,0,10085275
 엑시트 ,529215,3746919,6186898,1323,1556,1365,0,1,2,7,6,0,9426011
 스파이더맨: 파 프롬 홈 ,726991,4764168,6795896,1944,1890,1553,1,1,2,7,9,0,8021145
 백두산 ,458270,4177530,6789304,1970,1628,1236,0,1,4,12,18,0,6290502
 캡틴 마블 ,461758,3345132,4755290,2017,1935,1599,1,1,1,3,7,0,5802810
 조커 ,326211,2589588,4017872,1192,1326,1218,1,2,3,10,2,0,5247874
 봉오동 전투 ,352270,2454766,4119824,1392,1430,1128,0,2,2,8,17,0,4787538
 라이온 킹 ,307407,2604866,4015345,1856,1695,1311,1,0,2,7,1,0,4743264
 나쁜 녀석들: 더 무비 ,269559,3015445,4048243,1139,1285,1114,0,2,3,9,14,0,4573902
 82년생 김지영 ,148576,1410897,2675093,1354,1438,1197,0,1,3,10,4,0,3678156
 분노의 질주: 홉스&쇼 ,352839,2290480,3074128,1270,1240,907,1,1,2,8,9,0,3657536
 토이 스토리 4 ,142561,1471509,2394218,1063,894,707,1,0,2,6,3,0,3400034
 돈 ,254180,1773458,2810140,1146,1344,1082,0,2,1,3,6,0,3389125
 악인전 ,196391,1784708,2950737,1048,1217,1073,0,3,1,5,17,0,3364712
 가장 보통의 연애 ,154446,1288953,2171641,1006,1043,990,0,2,3,10,8,0,2924563
 말모이 ,284978,1408833,2382155,1077,1116,1081,0,1,4,1,17,0,2866453
 증인 ,117449,947821,1695553,884,1047,953,0,1,4,2,9,0,2534748
 시동 ,286830,1421303,2525986,1515,890,843,0,2,4,12,19,0,2525986
